,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
37,usami/distilbert-base-uncased-finetuned-cola,ag_news,usami/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,139.7812261581421,0.1102170024054816
38,SetFit/distilbert-base-uncased__sst2__train-32-9,ag_news,SetFit/distilbert-base-uncased__sst2__train-32-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,139.7658131122589,0.1515296184186981
39,strickvl/nlp-redaction-classifier,ag_news,strickvl/nlp-redaction-classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,192.1430509090424,-0.1451318739485078
40,connectivity/feather_berts_28,ag_news,connectivity/feather_berts_28,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.3622612953186,0.0596129634648938
41,IMSyPP/hate_speech_it,ag_news,IMSyPP/hate_speech_it,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,226.8212640285492,-0.1115100327831124
42,chiragasarpota/scotus-bert,ag_news,chiragasarpota/scotus-bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,36.78598117828369,-0.4771464050022186
43,Jeevesh8/bert_ft_qqp-9,ag_news,Jeevesh8/bert_ft_qqp-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.22264766693115,0.085667459522334
44,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,ag_news,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,274.77029299736023,0.1014025946475284
45,markt23917/finetuning-sentiment-model-3000-samples,ag_news,markt23917/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.1891508102417,0.1330097046759791
46,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,ag_news,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,138.64687585830688,-0.5819986357592692
47,aXhyra/demo_sentiment_31415,ag_news,aXhyra/demo_sentiment_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.4953408241272,0.116759184917506
48,Jeevesh8/6ep_bert_ft_cola-47,ag_news,Jeevesh8/6ep_bert_ft_cola-47,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.42587161064148,0.0975947642438311
49,anirudh21/bert-base-uncased-finetuned-qnli,ag_news,anirudh21/bert-base-uncased-finetuned-qnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.71656584739685,0.1316433992911872
50,milyiyo/selectra-small-finetuned-amazon-review,ag_news,milyiyo/selectra-small-finetuned-amazon-review,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,100.71703481674194,-0.324334197664366
51,aXhyra/presentation_sentiment_1234567,ag_news,aXhyra/presentation_sentiment_1234567,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.77898168563844,0.106040542161226
52,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,ag_news,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,141.73086833953855,0.1641716093638686
53,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,ag_news,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.4204545021057,0.1655520465030741
54,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,ag_news,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.3028154373169,0.0777590830321203
55,Jeevesh8/lecun_feather_berts-3,ag_news,Jeevesh8/lecun_feather_berts-3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.6139986515045,0.0578390007290656
56,connectivity/cola_6ep_ft-10,ag_news,connectivity/cola_6ep_ft-10,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,273.0599818229676,0.1348830211103368
57,JB173/distilbert-base-uncased-finetuned-emotion,ag_news,JB173/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.70809841156006,0.0601994748852044
58,aXhyra/emotion_trained_31415,ag_news,aXhyra/emotion_trained_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.34640049934387,0.0905684915048155
59,aXhyra/presentation_emotion_31415,ag_news,aXhyra/presentation_emotion_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,135.97724795341492,0.0844826017246513
60,Jeevesh8/6ep_bert_ft_cola-12,ag_news,Jeevesh8/6ep_bert_ft_cola-12,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.26557850837708,0.1216795307100567
61,viviastaari/finetuning-sentiment-analysis-en-id,ag_news,viviastaari/finetuning-sentiment-analysis-en-id,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,123.78978681564332,0.0360490482857658
62,nickmuchi/facebook-data2vec-finetuned-finance-classification,ag_news,nickmuchi/facebook-data2vec-finetuned-finance-classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,250.44757628440857,-0.2168735812744996
63,connectivity/bert_ft_qqp-17,ag_news,connectivity/bert_ft_qqp-17,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.4763250350952,0.0675041473119525
64,Jeevesh8/feather_berts_96,ag_news,Jeevesh8/feather_berts_96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.9632270336151,0.0622952771775566
65,Jeevesh8/bert_ft_qqp-68,ag_news,Jeevesh8/bert_ft_qqp-68,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.47126579284668,0.0551104339364019
66,Jeevesh8/6ep_bert_ft_cola-29,ag_news,Jeevesh8/6ep_bert_ft_cola-29,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,221.1743047237396,0.1156522627471434
67,Jeevesh8/lecun_feather_berts-51,ag_news,Jeevesh8/lecun_feather_berts-51,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,254.26510643959045,0.056365253470657
68,Jeevesh8/bert_ft_qqp-55,ag_news,Jeevesh8/bert_ft_qqp-55,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,252.12364673614505,0.0784029959634216
69,vinai/bertweet-base,ag_news,vinai/bertweet-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,200.7453436851501,0.1646182868378928
70,distilbert-base-uncased,ag_news,distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.02928042411804,0.1753016023223845
71,cross-encoder/quora-distilroberta-base,ag_news,cross-encoder/quora-distilroberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,112.68855619430542,-0.0335498282459137
72,roberta-base,ag_news,roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,210.92339634895325,0.1802614593825009
73,bert-base-uncased,ag_news,bert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,251.04695081710813,0.1590302443331788
74,Aureliano/distilbert-base-uncased-if,ag_news,Aureliano/distilbert-base-uncased-if,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,140.7628939151764,-0.0810433704730108
75,rmihaylov/roberta-base-sentiment-bg,ag_news,rmihaylov/roberta-base-sentiment-bg,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,145.4591646194458,-0.2915677844222683
76,dhimskyy/wiki-bert,ag_news,dhimskyy/wiki-bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.0381598472595,-0.2919355793920334
77,juliensimon/autonlp-imdb-demo-hf-16622767,ag_news,juliensimon/autonlp-imdb-demo-hf-16622767,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,113.92235779762268,-0.0302126857842879
78,cross-encoder/ms-marco-MiniLM-L-4-v2,ag_news,cross-encoder/ms-marco-MiniLM-L-4-v2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,52.016327142715454,-0.0297464922313594
79,bert-base-cased,ag_news,bert-base-cased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,245.93314671516416,0.1404730311899304
80,cardiffnlp/twitter-roberta-base-2021-124m,ag_news,cardiffnlp/twitter-roberta-base-2021-124m,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,211.98663139343265,0.0850894049691781
81,Nanatan/distilbert-base-uncased-finetuned-emotion,ag_news,Nanatan/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.0069751739502,0.0558118281976494
82,Alassea/glue_sst_classifier,ag_news,Alassea/glue_sst_classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,218.7869668006897,0.1224913191662309
83,michiyasunaga/LinkBERT-base,ag_news,michiyasunaga/LinkBERT-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,276.1922376155853,0.1487821833234231
84,Jeevesh8/lecun_feather_berts-8,ag_news,Jeevesh8/lecun_feather_berts-8,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.2769160270691,0.0665502137483457
85,Jeevesh8/bert_ft_cola-60,ag_news,Jeevesh8/bert_ft_cola-60,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,251.9079003334045,0.1002760097321006
86,Jeevesh8/bert_ft_qqp-39,ag_news,Jeevesh8/bert_ft_qqp-39,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.5784311294556,0.0897085994361
87,navsad/navid_test_bert,ag_news,navsad/navid_test_bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,279.3781309127808,0.0831250511964471
88,connectivity/bert_ft_qqp-94,ag_news,connectivity/bert_ft_qqp-94,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.0154528617859,0.0349853949798748
89,navteca/quora-roberta-base,ag_news,navteca/quora-roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,221.71875882148743,-0.4051837650102725
90,w11wo/sundanese-bert-base-emotion-classifier,ag_news,w11wo/sundanese-bert-base-emotion-classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,241.3122625350952,-0.3931263092508443
91,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,ag_news,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.0644187927246,0.0917218095068032
92,Jeevesh8/bert_ft_cola-88,ag_news,Jeevesh8/bert_ft_cola-88,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.1649022102356,0.1142258458734543
93,aditeyabaral/finetuned-sail2017-xlm-roberta-base,ag_news,aditeyabaral/finetuned-sail2017-xlm-roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.45147132873527,0.0500900457984541
94,aychang/bert-base-cased-trec-coarse,ag_news,aychang/bert-base-cased-trec-coarse,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,236.3531756401062,0.0768401049729302
95,korca/bae-roberta-base-boolq,ag_news,korca/bae-roberta-base-boolq,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,249.3620352745056,-0.0178782664788825
96,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,ag_news,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,287.8527178764343,-0.5770956945006499
97,mrm8488/codebert-base-finetuned-detect-insecure-code,ag_news,mrm8488/codebert-base-finetuned-detect-insecure-code,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,212.10178089141849,-0.1129948028758688
98,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,ag_news,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,258.6862635612488,0.1063618288452003
99,ishan/bert-base-uncased-mnli,ag_news,ishan/bert-base-uncased-mnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.7947196960449,0.0495208841972654
100,connectivity/bert_ft_qqp-96,ag_news,connectivity/bert_ft_qqp-96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.4625465869904,0.0927802876840027
101,XSY/albert-base-v2-imdb-calssification,ag_news,XSY/albert-base-v2-imdb-calssification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,260.8926856517792,0.0084629486478893
102,boychaboy/MNLI_roberta-base,ag_news,boychaboy/MNLI_roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,211.31219840049744,0.005972825665645
103,cointegrated/roberta-base-formality,ag_news,cointegrated/roberta-base-formality,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,249.32362294197085,-0.0067118800382061
104,gchhablani/bert-base-cased-finetuned-rte,ag_news,gchhablani/bert-base-cased-finetuned-rte,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,236.11267375946045,0.1143152480656249
105,fabriceyhc/bert-base-uncased-imdb,ag_news,fabriceyhc/bert-base-uncased-imdb,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,252.02121829986567,0.0398555493052923
106,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,ag_news,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.07522869110107,0.0624793725282567
107,joebobby/finetuning-sentiment-model-5000-samples3,ag_news,joebobby/finetuning-sentiment-model-5000-samples3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.1608390808105,0.128238401001284
108,emrecan/bert-base-multilingual-cased-snli_tr,ag_news,emrecan/bert-base-multilingual-cased-snli_tr,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,296.5580894947052,0.0739514357990039
109,elozano/tweet_offensive_eval,ag_news,elozano/tweet_offensive_eval,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,246.19899487495425,-0.2691141591762085
110,Jeevesh8/feather_berts_92,ag_news,Jeevesh8/feather_berts_92,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.6916732788086,0.0658905474897162
111,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,ag_news,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,263.8616819381714,-0.3308608332604728
112,gchhablani/bert-base-cased-finetuned-wnli,ag_news,gchhablani/bert-base-cased-finetuned-wnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.93971228599548,0.1315949453359272
113,manueltonneau/bert-twitter-en-is-hired,ag_news,manueltonneau/bert-twitter-en-is-hired,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.24846839904785,0.0482622755421199
114,ChrisUPM/BioBERT_Re_trained,ag_news,ChrisUPM/BioBERT_Re_trained,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.86095905303955,-0.0987695143842234
115,nreimers/mmarco-mMiniLMv2-L6-H384-v1,dbpedia_14,nreimers/mmarco-mMiniLMv2-L6-H384-v1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,dbpedia_14,335.420437335968,0.3640765782623107
116,milyiyo/selectra-small-finetuned-amazon-review,dbpedia_14,milyiyo/selectra-small-finetuned-amazon-review,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,dbpedia_14,488.06381011009216,0.2514232686873395
117,cross-encoder/ms-marco-MiniLM-L-4-v2,dbpedia_14,cross-encoder/ms-marco-MiniLM-L-4-v2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,dbpedia_14,266.95694184303284,0.5408427828252519
118,philschmid/tiny-distilbert-classification,glue/cola,philschmid/tiny-distilbert-classification,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,2.449342727661133,-0.9560995981217248
119,PrasunMishra/finetuning-sentiment-model-3000-samples,glue/cola,PrasunMishra/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.620978832244873,-0.5739455265040394
120,dapang/distilroberta-base-mic-sym,glue/cola,dapang/distilroberta-base-mic-sym,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.838495492935181,-0.5511416194450366
121,abdelkader/distilbert-base-uncased-finetuned-emotion,glue/cola,abdelkader/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.740458011627197,-0.5950271833843115
122,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,glue/cola,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.527786016464233,-0.5984037341344232
123,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,glue/cola,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,3.7224621772766113,-0.575912769768804
124,nurkayevaa/autonlp-bert-covid-407910458,glue/cola,nurkayevaa/autonlp-bert-covid-407910458,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.210200309753418,-0.5897271687568815
125,SetFit/distilbert-base-uncased__sst2__train-16-0,glue/cola,SetFit/distilbert-base-uncased__sst2__train-16-0,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.166712522506714,-0.5606604362140762
126,riyadhctg/distilbert-base-uncased-finetuned-cola,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.729792356491089,0.4800662079096028
127,gchhablani/fnet-base-finetuned-sst2,glue/cola,gchhablani/fnet-base-finetuned-sst2,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.293390512466431,-0.6279977976017519
128,vaariis/distilbert-base-uncased-finetuned-emotion,glue/cola,vaariis/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.473077058792114,-0.5963642313001665
129,marcelcastrobr/sagemaker-distilbert-emotion,glue/cola,marcelcastrobr/sagemaker-distilbert-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.171539068222046,-0.6015267504687094
130,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,glue/cola,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.480276346206665,-0.5632217298624564
131,crcb/isear_bert,glue/cola,crcb/isear_bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.59701418876648,-0.5847384319973381
132,heranm/finetuning-sentiment-model-3000-samples,glue/cola,heranm/finetuning-sentiment-model-3000-samples,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.2258830070495605,-0.5700652818870247
133,jasonyim2/distilbert-base-uncased-finetuned-emotion,glue/cola,jasonyim2/distilbert-base-uncased-finetuned-emotion,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.395534038543701,-0.6050365392083519
134,Jeevesh8/init_bert_ft_qqp-33,glue/cola,Jeevesh8/init_bert_ft_qqp-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.230126857757568,-0.5573009340021426
