,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
18,Jeevesh8/init_bert_ft_qqp-49,tweet_eval/irony,Jeevesh8/init_bert_ft_qqp-49,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.500123500824,0.6921465968586388,True,,TransferGraph,,,,,,
19,Jeevesh8/feather_berts_46,tweet_eval/irony,Jeevesh8/feather_berts_46,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,480.4035544395447,0.7005235602094241,True,,TransferGraph,,,,,,
20,yukta10/finetuning-sentiment-model-3000-samples,tweet_eval/irony,yukta10/finetuning-sentiment-model-3000-samples,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,250.3689832687378,0.6680628272251309,True,,TransferGraph,,,,,,
21,connectivity/cola_6ep_ft-22,tweet_eval/irony,connectivity/cola_6ep_ft-22,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.3303608894348,0.6670157068062827,True,,TransferGraph,,,,,,
22,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,tweet_eval/irony,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,448.2016475200653,0.6052356020942409,True,,TransferGraph,,,,,,
23,cambridgeltl/guardian_news_distilbert-base-uncased,tweet_eval/irony,cambridgeltl/guardian_news_distilbert-base-uncased,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,247.0259826183319,0.6492146596858639,True,,TransferGraph,,,,,,
24,gchhablani/fnet-base-finetuned-cola,tweet_eval/irony,gchhablani/fnet-base-finetuned-cola,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,324.90704894065857,0.6492146596858639,True,,TransferGraph,,,,,,
25,ncduy/roberta-imdb-sentiment-analysis,tweet_eval/irony,ncduy/roberta-imdb-sentiment-analysis,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,468.9472289085388,0.724607329842932,True,,TransferGraph,,,,,,
26,isakbos/Q8BERT_COLA_L_512,tweet_eval/irony,isakbos/Q8BERT_COLA_L_512,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.3915033340454,0.5842931937172775,True,,TransferGraph,,,,,,
27,connectivity/bert_ft_qqp-7,tweet_eval/irony,connectivity/bert_ft_qqp-7,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.4911606311798,0.6900523560209424,True,,TransferGraph,,,,,,
28,moghis/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,moghis/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.57266426086423,0.6712041884816754,True,,TransferGraph,,,,,,
29,uygarkurt/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,uygarkurt/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,247.18095064163208,0.6659685863874345,True,,TransferGraph,,,,,,
30,amyma21/sincere_question_classification,tweet_eval/irony,amyma21/sincere_question_classification,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,249.1594090461731,0.6879581151832461,True,,TransferGraph,,,,,,
31,phailyoor/distilbert-base-uncased-finetuned-yahd,tweet_eval/irony,phailyoor/distilbert-base-uncased-finetuned-yahd,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.779043674469,0.6544502617801047,True,,TransferGraph,,,,,,
32,arianpasquali/distilbert-base-multilingual-cased-toxicity,tweet_eval/irony,arianpasquali/distilbert-base-multilingual-cased-toxicity,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,254.81093835830688,0.6376963350785341,True,,TransferGraph,,,,,,
33,neibla/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,neibla/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.75299763679504,0.6764397905759162,True,,TransferGraph,,,,,,
34,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,tweet_eval/irony,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,446.7441601753235,0.6921465968586388,True,,TransferGraph,,,,,,
35,Anthos23/FS-distilroberta-fine-tuned,tweet_eval/irony,Anthos23/FS-distilroberta-fine-tuned,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.94313979148865,0.7162303664921466,True,,TransferGraph,,,,,,
36,pietrotrope/emotion_final,tweet_eval/irony,pietrotrope/emotion_final,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.65321469306943,0.6848167539267016,True,,TransferGraph,,,,,,
37,aviator-neural/bert-base-uncased-sst2,tweet_eval/irony,aviator-neural/bert-base-uncased-sst2,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.11539793014526,0.6732984293193718,True,,TransferGraph,,,,,,
38,Jeevesh8/bert_ft_qqp-40,tweet_eval/irony,Jeevesh8/bert_ft_qqp-40,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.0692865848541,0.6984293193717277,True,,TransferGraph,,,,,,
39,jaesun/distilbert-base-uncased-finetuned-cola,tweet_eval/irony,jaesun/distilbert-base-uncased-finetuned-cola,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,251.77912211418152,0.6219895287958115,True,,TransferGraph,,,,,,
40,SetFit/distilbert-base-uncased__sst2__train-32-9,tweet_eval/irony,SetFit/distilbert-base-uncased__sst2__train-32-9,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,249.81431818008423,0.6795811518324607,True,,TransferGraph,,,,,,
41,usami/distilbert-base-uncased-finetuned-cola,tweet_eval/irony,usami/distilbert-base-uncased-finetuned-cola,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,253.86892199516296,0.6523560209424084,True,,TransferGraph,,,,,,
42,connectivity/feather_berts_28,tweet_eval/irony,connectivity/feather_berts_28,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.01835775375366,0.6973821989528796,True,,TransferGraph,,,,,,
43,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,tweet_eval/irony,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.81896328926086,0.631413612565445,True,,TransferGraph,,,,,,
44,Jeevesh8/bert_ft_qqp-9,tweet_eval/irony,Jeevesh8/bert_ft_qqp-9,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.0000109672546,0.6973821989528796,True,,TransferGraph,,,,,,
45,Jeevesh8/bert_ft_qqp-88,tweet_eval/irony,Jeevesh8/bert_ft_qqp-88,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.3652517795563,0.6984293193717277,True,,TransferGraph,,,,,,
46,Recognai/bert-base-spanish-wwm-cased-xnli,tweet_eval/irony,Recognai/bert-base-spanish-wwm-cased-xnli,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.26305747032166,0.625130890052356,True,,TransferGraph,,,,,,
47,markt23917/finetuning-sentiment-model-3000-samples,tweet_eval/irony,markt23917/finetuning-sentiment-model-3000-samples,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.87457513809204,0.6712041884816754,True,,TransferGraph,,,,,,
48,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,tweet_eval/irony,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.62234592437744,0.4774869109947644,True,,TransferGraph,,,,,,
49,warwickai/fin-perceiver,tweet_eval/irony,warwickai/fin-perceiver,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,558.2202577590942,0.6973821989528796,True,,TransferGraph,,,,,,
50,anirudh21/bert-base-uncased-finetuned-qnli,tweet_eval/irony,anirudh21/bert-base-uncased-finetuned-qnli,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,479.8115005493164,0.7068062827225131,True,,TransferGraph,,,,,,
51,Jeevesh8/6ep_bert_ft_cola-47,tweet_eval/irony,Jeevesh8/6ep_bert_ft_cola-47,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,477.00594115257263,0.6554973821989529,True,,TransferGraph,,,,,,
52,oferweintraub/bert-base-finance-sentiment-noisy-search,tweet_eval/irony,oferweintraub/bert-base-finance-sentiment-noisy-search,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.9843547344208,0.6973821989528796,True,,TransferGraph,,,,,,
53,aXhyra/demo_sentiment_31415,tweet_eval/irony,aXhyra/demo_sentiment_31415,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,253.4660165309906,0.675392670157068,True,,TransferGraph,,,,,,
54,milyiyo/selectra-small-finetuned-amazon-review,tweet_eval/irony,milyiyo/selectra-small-finetuned-amazon-review,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,117.0668408870697,0.6376963350785341,True,,TransferGraph,,,,,,
55,aXhyra/presentation_sentiment_1234567,tweet_eval/irony,aXhyra/presentation_sentiment_1234567,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.6715838909149,0.680628272251309,True,,TransferGraph,,,,,,
56,Alireza1044/albert-base-v2-qnli,tweet_eval/irony,Alireza1044/albert-base-v2-qnli,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,505.7247393131256,0.6481675392670158,True,,TransferGraph,,,,,,
57,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,tweet_eval/irony,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.30542635917664,0.6617801047120419,True,,TransferGraph,,,,,,
58,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,tweet_eval/irony,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.5310401916504,0.6890052356020943,True,,TransferGraph,,,,,,
59,connectivity/cola_6ep_ft-10,tweet_eval/irony,connectivity/cola_6ep_ft-10,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,477.0648477077484,0.6638743455497382,True,,TransferGraph,,,,,,
60,Jeevesh8/lecun_feather_berts-3,tweet_eval/irony,Jeevesh8/lecun_feather_berts-3,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.0213580131531,0.675392670157068,True,,TransferGraph,,,,,,
61,jb2k/bert-base-multilingual-cased-language-detection,tweet_eval/irony,jb2k/bert-base-multilingual-cased-language-detection,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,483.8590910434723,0.6293193717277487,True,,TransferGraph,,,,,,
62,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,tweet_eval/irony,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.61365580558777,0.7151832460732984,True,,TransferGraph,,,,,,
63,connectivity/bert_ft_qqp-25,tweet_eval/irony,connectivity/bert_ft_qqp-25,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.1623253822327,0.6743455497382199,True,,TransferGraph,,,,,,
64,Jeevesh8/6ep_bert_ft_cola-12,tweet_eval/irony,Jeevesh8/6ep_bert_ft_cola-12,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.4272546768189,0.643979057591623,True,,TransferGraph,,,,,,
65,JB173/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,JB173/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.8886797428131,0.6659685863874345,True,,TransferGraph,,,,,,
66,aXhyra/emotion_trained_31415,tweet_eval/irony,aXhyra/emotion_trained_31415,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,263.1755928993225,0.6837696335078534,True,,TransferGraph,,,,,,
67,aXhyra/presentation_emotion_31415,tweet_eval/irony,aXhyra/presentation_emotion_31415,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,307.52458357810974,0.675392670157068,True,,TransferGraph,,,,,,
68,AnonymousSub/dummy_2,tweet_eval/irony,AnonymousSub/dummy_2,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,482.1867549419403,0.6596858638743456,True,,TransferGraph,,,,,,
69,Jeevesh8/bert_ft_qqp-55,tweet_eval/irony,Jeevesh8/bert_ft_qqp-55,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.86310839653015,0.6816753926701571,True,,TransferGraph,,,,,,
70,Jeevesh8/lecun_feather_berts-51,tweet_eval/irony,Jeevesh8/lecun_feather_berts-51,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,486.3851971626282,0.6879581151832461,True,,TransferGraph,,,,,,
71,viviastaari/finetuning-sentiment-analysis-en-id,tweet_eval/irony,viviastaari/finetuning-sentiment-analysis-en-id,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,519.7521617412567,0.5979057591623037,True,,TransferGraph,,,,,,
72,vinai/bertweet-base,tweet_eval/irony,vinai/bertweet-base,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,157.1312961578369,0.7591623036649214,True,,TransferGraph,,,,,,
73,distilbert-base-uncased,tweet_eval/irony,distilbert-base-uncased,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,253.179304599762,0.6764397905759162,True,,TransferGraph,,,,,,
74,bert-base-uncased,tweet_eval/irony,bert-base-uncased,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,477.506555557251,0.6984293193717277,True,,TransferGraph,,,,,,
75,roberta-base,tweet_eval/irony,roberta-base,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,470.9809317588806,0.774869109947644,True,,TransferGraph,,,,,,
76,Aureliano/distilbert-base-uncased-if,tweet_eval/irony,Aureliano/distilbert-base-uncased-if,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,303.19212555885315,0.6764397905759162,True,,TransferGraph,,,,,,
77,rmihaylov/roberta-base-sentiment-bg,tweet_eval/irony,rmihaylov/roberta-base-sentiment-bg,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,307.79744696617126,0.6293193717277487,True,,TransferGraph,,,,,,
78,cardiffnlp/twitter-roberta-base-2021-124m,tweet_eval/irony,cardiffnlp/twitter-roberta-base-2021-124m,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,414.0363647937775,0.7801047120418848,True,,TransferGraph,,,,,,
79,Alassea/glue_sst_classifier,tweet_eval/irony,Alassea/glue_sst_classifier,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,229.62392950057983,0.6785340314136126,True,,TransferGraph,,,,,,
80,Nanatan/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,Nanatan/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,223.8561584949493,0.669109947643979,True,,TransferGraph,,,,,,
81,connectivity/bert_ft_qqp-1,tweet_eval/irony,connectivity/bert_ft_qqp-1,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,487.6625292301178,0.7015706806282722,True,,TransferGraph,,,,,,
82,juliensimon/autonlp-imdb-demo-hf-16622767,tweet_eval/irony,juliensimon/autonlp-imdb-demo-hf-16622767,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,511.6649954319,0.6785340314136126,True,,TransferGraph,,,,,,
83,Jeevesh8/bert_ft_qqp-39,tweet_eval/irony,Jeevesh8/bert_ft_qqp-39,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.80570006370544,0.6774869109947644,True,,TransferGraph,,,,,,
84,Jeevesh8/lecun_feather_berts-8,tweet_eval/irony,Jeevesh8/lecun_feather_berts-8,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,478.65100955963135,0.6952879581151833,True,,TransferGraph,,,,,,
85,connectivity/bert_ft_qqp-94,tweet_eval/irony,connectivity/bert_ft_qqp-94,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,417.8582172393799,0.6837696335078534,True,,TransferGraph,,,,,,
86,korca/bae-roberta-base-boolq,tweet_eval/irony,korca/bae-roberta-base-boolq,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,417.2758848667145,0.7183246073298429,True,,TransferGraph,,,,,,
87,Jeevesh8/bert_ft_cola-88,tweet_eval/irony,Jeevesh8/bert_ft_cola-88,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,424.6867244243622,0.6554973821989529,True,,TransferGraph,,,,,,
88,aditeyabaral/finetuned-sail2017-xlm-roberta-base,tweet_eval/irony,aditeyabaral/finetuned-sail2017-xlm-roberta-base,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,437.7157745361328,0.6879581151832461,True,,TransferGraph,,,,,,
89,connectivity/bert_ft_qqp-96,tweet_eval/irony,connectivity/bert_ft_qqp-96,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,486.89560294151306,0.6816753926701571,True,,TransferGraph,,,,,,
90,boychaboy/MNLI_roberta-base,tweet_eval/irony,boychaboy/MNLI_roberta-base,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,471.9755711555481,0.7570680628272252,True,,TransferGraph,,,,,,
91,fabriceyhc/bert-base-uncased-imdb,tweet_eval/irony,fabriceyhc/bert-base-uncased-imdb,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,486.20780301094055,0.6492146596858639,True,,TransferGraph,,,,,,
92,emrecan/bert-base-multilingual-cased-snli_tr,tweet_eval/irony,emrecan/bert-base-multilingual-cased-snli_tr,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,485.8781468868256,0.669109947643979,True,,TransferGraph,,,,,,
93,elozano/tweet_offensive_eval,tweet_eval/irony,elozano/tweet_offensive_eval,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,471.424623966217,0.5853403141361256,True,,TransferGraph,,,,,,
94,joebobby/finetuning-sentiment-model-5000-samples3,tweet_eval/irony,joebobby/finetuning-sentiment-model-5000-samples3,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,478.28548884391785,0.6984293193717277,True,,TransferGraph,,,,,,
95,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,tweet_eval/irony,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.9649529457092,0.4774869109947644,True,,TransferGraph,,,,,,
96,Jeevesh8/feather_berts_92,tweet_eval/irony,Jeevesh8/feather_berts_92,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,477.8614881038666,0.7235602094240837,True,,TransferGraph,,,,,,
97,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,tweet_eval/irony,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,478.1180257797241,0.6460732984293194,True,,TransferGraph,,,,,,
98,heranm/finetuning-sentiment-model-3000-samples,tweet_eval/hate,heranm/finetuning-sentiment-model-3000-samples,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,624.118034362793,0.783,True,,TransferGraph,,,,,,
99,vaariis/distilbert-base-uncased-finetuned-emotion,tweet_eval/hate,vaariis/distilbert-base-uncased-finetuned-emotion,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,713.9313139915466,0.763,True,,TransferGraph,,,,,,
100,riyadhctg/distilbert-base-uncased-finetuned-cola,tweet_eval/hate,riyadhctg/distilbert-base-uncased-finetuned-cola,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,621.7908248901367,0.748,True,,TransferGraph,,,,,,
101,PrasunMishra/finetuning-sentiment-model-3000-samples,tweet_eval/hate,PrasunMishra/finetuning-sentiment-model-3000-samples,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,626.3938674926758,0.77,True,,TransferGraph,,,,,,
102,dapang/distilroberta-base-mic-sym,tweet_eval/hate,dapang/distilroberta-base-mic-sym,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,618.81627202034,0.777,True,,TransferGraph,,,,,,
103,jasonyim2/distilbert-base-uncased-finetuned-emotion,tweet_eval/hate,jasonyim2/distilbert-base-uncased-finetuned-emotion,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,620.0128705501556,0.772,True,,TransferGraph,,,,,,
104,nurkayevaa/autonlp-bert-covid-407910458,tweet_eval/hate,nurkayevaa/autonlp-bert-covid-407910458,hate,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,717.6134514808655,0.765,True,,TransferGraph,,,,,,
